"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 29 18:53:25 GMT 2023","Mon May 29 18:53:25 GMT 2023","231","","test_booker","","","","test_get_booking_by_id",""
"passed","Mon May 29 18:53:25 GMT 2023","Mon May 29 18:53:26 GMT 2023","477","","test_booker","","","","test_update_booking",""
"passed","Mon May 29 18:53:24 GMT 2023","Mon May 29 18:53:24 GMT 2023","232","","test_booker","","","","test_get_booking_ids",""
"passed","Mon May 29 18:53:24 GMT 2023","Mon May 29 18:53:25 GMT 2023","229","","test_booker","","","","test_create_booking",""
"passed","Mon May 29 18:53:25 GMT 2023","Mon May 29 18:53:25 GMT 2023","229","","test_booker","","","","test_create_booking_with_bad_request",""
